customerID,company_name,address,city,state,phone
1,Mills LLC,0199 Theresa Neck Suite 171,Salinas,California,9061311906
2,Thomas-Mcdowell,485 Juan Manors Apt. 163,Moreno Valley,California,1886916789
3,Pham Group,70819 Freeman Court Apt. 124,Concord,California,6470542201
4,Escobar Group,0776 Jasmine Summit Apt. 372,Pasadena,California,4964628843
5,Levy and Sons,723 Rogers Fields,Pomona,California,2066291946
6,Chapman-Wagner,66888 Julie Summit Apt. 788,Vallejo,California,1938309869
7,Phillips-Reyes,9393 Anthony Greens,Fresno,California,2133748052
8,Cameron LLC,106 Willis Circles,Oceanside,California,7327326425
9,Davis-Bush,732 Scott Keys,Santa Clara,California,9541926006
10,"Roth, Taylor and Myers",227 Adams Islands Apt. 233,Santa Ana,California,0743064547
11,Cochran-Wilson,3596 Lyons Highway,Salinas,California,8521215688
12,Sims and Sons,78772 Anthony Pine,Fremont,California,4302429265
13,Clark-Anderson,4922 Nguyen Street Apt. 927,Lancaster,California,9081423400
14,"Flores, Thornton and Walker",7831 Jimmy Branch Suite 783,Pomona,California,0326195508
15,Wagner Ltd,43145 French Lane Apt. 328,Sunnyvale,California,4674379352
16,Burnett-Perez,878 Smith Ville,Ontario,California,4838886819
17,"Ramsey, Cross and Cooke",05357 Torres Gardens,Orange,California,7933979535
18,"Archer, Brown and Norman",1901 Melissa Keys,San Diego,California,9754283126
19,Massey Inc,6127 Justin Stravenue Suite 886,Santa Clarita,California,2760647981
20,Mcbride LLC,6175 Harold Fall Apt. 515,Long Beach,California,5070397572
21,Goodwin-Arnold,419 Russell Drive Apt. 397,Oakland,California,7460259303
22,Cook-Sparks,565 Michael River,Sacramento,California,0904408550
23,Hart-Morales,8080 Mcclure Estates Suite 998,Long Beach,California,1267909456
24,Nash-Faulkner,989 Sarah View,Sacramento,California,4678289470
25,Jones-Edwards,05662 Tara Stream Apt. 076,San Jose,California,4386540401
26,"Odonnell, Henson and Willis",6023 Thomas Lake,Lancaster,California,6905676402
27,Montoya LLC,29700 Cheyenne Inlet Apt. 852,San Francisco,California,8430242631
28,Davis PLC,9996 Fisher Walks Apt. 596,Oceanside,California,7404962274
29,Stewart-Sandoval,300 Michael Vista,Rancho Cucamonga,California,5643096593
30,"Thomas, Miller and Gregory",0038 Tonya Ranch Apt. 048,San Francisco,California,1347497513
31,"Howard, Rhodes and Curtis",1820 Acevedo Grove,San Jose,California,3123924356
32,Martinez-Horton,303 Abigail Parkway,Orange,California,3800022207
33,Wilkinson Group,77633 Peter Lock Suite 664,Escondido,California,5335540246
