sample_id,customerID,num_sample,test_name,receive_date,analysis_date,report_date,result
1,6,85,Staph,2024-02-27,2024-03-13,2024-03-14,<1
2,90,47,Salmonella,2024-01-15,2024-02-15,2024-02-29,Negative
3,3,36,Aflatoxin,2024-01-07,2024-01-15,2024-02-21,<1
4,85,26,Aflatoxin,2024-02-11,2024-03-11,2024-03-13,<1
5,34,40,Salmonella,2024-02-22,2024-03-02,2024-03-15,Negative
6,72,43,EO157,2024-01-11,2024-01-18,2024-01-29,Negative
7,29,8,Aflatoxin,2024-01-12,2024-02-14,2024-03-05,4881
8,67,85,EO157,2024-02-03,2024-03-03,2024-03-16,Negative
9,2,81,Salmonella,2024-03-10,2024-03-17,2024-03-17,Negative
10,64,86,Enterobateria,2024-01-06,2024-01-26,2024-03-14,5933
11,67,20,Ochratoxin,2024-01-07,2024-01-14,2024-03-13,<1
12,50,97,Mold,2024-01-11,2024-02-14,2024-03-04,<1
13,94,9,Aerobic Place Count,2024-02-16,2024-03-03,2024-03-10,<1
14,65,36,Yeast,2024-02-25,2024-02-27,2024-02-29,<1
15,36,48,Enterobateria,2024-01-22,2024-03-10,2024-03-17,<1
16,65,4,Salmonella,2024-02-12,2024-03-02,2024-03-15,Negative
17,81,64,E.Coli Count,2024-03-08,2024-03-17,2024-03-17,<1
18,28,59,Ochratoxin,2024-02-02,2024-02-16,2024-02-25,8714
19,94,96,Yeast,2024-02-09,2024-02-13,2024-02-21,<1
20,75,72,Total Coliform,2024-03-04,2024-03-10,2024-03-14,<1
21,67,13,E.Coli Count,2024-02-16,2024-02-22,2024-03-17,<1
22,3,70,Listeria Spp,2024-01-15,2024-03-16,2024-03-17,Negative
23,9,11,EO157,2024-03-15,2024-03-16,2024-03-16,Negative
24,45,32,Listeria Mono,2024-03-11,2024-03-15,2024-03-16,Negative
25,88,38,Listeria Mono,2024-02-07,2024-02-26,2024-03-05,Negative
26,69,86,Listeria Mono,2024-02-05,2024-03-09,2024-03-13,Negative
27,68,64,Listeria Mono,2024-02-24,2024-02-24,2024-03-04,Negative
28,83,71,Ochratoxin,2024-02-16,2024-03-01,2024-03-04,<1
29,83,97,EO157,2024-03-14,2024-03-14,2024-03-15,Negative
30,66,10,EO157,2024-01-02,2024-02-28,2024-03-05,Negative
31,12,96,EO157,2024-03-08,2024-03-12,2024-03-15,Negative
32,72,67,Yeast,2024-02-01,2024-02-27,2024-03-03,<1
33,33,35,Aerobic Place Count,2024-01-26,2024-02-26,2024-03-10,<1
34,46,22,Yeast,2024-02-24,2024-03-01,2024-03-12,<1
35,71,99,EO157,2024-01-26,2024-02-20,2024-03-14,Negative
36,12,68,Enterobateria,2024-01-04,2024-02-18,2024-03-15,<1
37,69,20,Aerobic Place Count,2024-01-07,2024-03-13,2024-03-15,<1
38,31,76,Yeast,2024-03-02,2024-03-05,2024-03-14,<1
39,75,70,Aflatoxin,2024-01-06,2024-02-26,2024-03-16,<1
40,92,10,Staph,2024-03-06,2024-03-17,2024-03-17,<1
41,47,42,Mold,2024-01-15,2024-02-20,2024-02-24,<1
42,87,20,Ochratoxin,2024-03-06,2024-03-08,2024-03-10,<1
43,5,75,Ochratoxin,2024-01-10,2024-03-05,2024-03-05,<1
44,44,77,Listeria Mono,2024-01-10,2024-03-16,2024-03-17,Negative
45,4,60,E.Coli Count,2024-01-14,2024-02-20,2024-03-08,8744
46,88,34,Staph,2024-01-12,2024-02-17,2024-02-28,<1
47,95,99,Ochratoxin,2024-01-28,2024-01-29,2024-02-01,<1
48,92,45,Aflatoxin,2024-03-14,2024-03-16,2024-03-16,<1
49,67,86,E.Coli Count,2024-01-13,2024-01-13,2024-01-26,<1
50,66,44,Mold,2024-02-21,2024-03-14,2024-03-16,<1
51,50,76,Staph,2024-02-28,2024-02-28,2024-02-28,<1
52,73,64,EO157,2024-02-08,2024-02-28,2024-03-05,Positive
53,8,56,Mold,2024-01-20,2024-02-13,2024-02-15,<1
54,31,19,Total Coliform,2024-03-09,2024-03-14,2024-03-15,<1
55,68,33,Total Coliform,2024-02-08,2024-03-16,2024-03-16,<1
56,43,97,E.Coli Count,2024-03-06,2024-03-17,2024-03-17,3535
57,42,97,E.Coli Count,2024-01-04,2024-02-26,2024-02-27,<1
58,62,59,Listeria Spp,2024-02-09,2024-03-07,2024-03-11,Negative
59,90,24,Listeria Spp,2024-03-11,2024-03-12,2024-03-15,Negative
60,37,29,Staph,2024-02-05,2024-02-17,2024-03-10,<1
61,54,45,Listeria Spp,2024-02-29,2024-03-04,2024-03-16,Negative
62,12,11,Total Coliform,2024-01-28,2024-03-17,2024-03-17,<1
63,74,83,Enterobateria,2024-02-16,2024-03-06,2024-03-09,<1
64,70,12,EO157,2024-02-06,2024-03-05,2024-03-14,Negative
